Time (s),Joy Line,Joy KeyPoint,Fear Line,Fear KeyPoint,Relaxation Line,Relaxation KeyPoint,Boredom Line,Boredom KeyPoint,Presence Line,Presence KeyPoint, Annotation
0,1.368569,,5.914595,,0,,0,,0,,
1,1.368569,,5.914595,,0,,0,,0,,
2,1.368569,,5.914595,,0,,0,,0,,
3,1.368569,,5.914595,,0,,0,,0,,
4,1.368569,,5.914595,,0,,0,,0,,
5,1.368569,,5.914595,,0,,0,,0,,
6,1.368569,,5.914595,,0,,0,,0,,
7,1.368569,,5.914595,,0,,0,,0,,
8,1.368569,,5.914595,,0,,0,,0,,
9,1.368569,,5.914595,,0,,0,,0,,
10,1.368569,,5.914595,,0,,0,,0,,
11,1.368569,,5.914595,,0,,0,,0,,
12,1.368569,,5.914595,,0,,0,,0,,
13,1.368569,,5.914595,,0,,0,,0,,
14,1.368569,,5.914595,,0,,0,,0,,
15,1.368569,,5.914595,,0,,0,,0,,
16,1.368569,,5.914595,,0,,0,,0,,
17,1.368569,,5.914595,,0,,0,,0,,
18,1.368569,,5.914595,,0,,0,,0,,
19,1.368569,,5.914595,,0,,0,,0,,
20,1.368569,,5.914595,,0,,0,,0,,
21,1.368569,,5.914595,,0,,0,,0,,
22,1.368569,,5.914595,,0,,0,,0,,
23,1.368569,,5.914595,,0,,0,,0,,
24,1.368569,,5.928673,,0,,0,,0,,
25,1.368569,,5.99824,,0,,0,,0,,
26,1.368569,,6.067806,,0,,0,,0,,
27,1.368569,,6.067806,,0,,0,,0,,
28,1.368569,,6.139128,,0,,0,,0,,
29,1.368569,,6.139128,,0,,0,,0,,
30,1.368569,,6.139128,,0,,0,,0,,
31,1.368569,,6.139128,,0,,0,,0,,
32,1.368569,,6.139128,,0,,0,,0,,
33,1.368569,,6.139128,,0,,0,,0,,
34,1.368569,,6.127078,,0,,0,,0,,
35,1.368569,,6.103888,,0,,0,,0,,
36,1.368569,,6.080698,,0,,0,,0,,
37,1.368569,,6.057509,,0,,0,,0,,
38,1.368569,,6.03432,,0,,0,,0,,
39,1.368569,,6.03432,,0,,0,,0,,
40,1.368569,,5.98768,,0,,0,,0,,
41,1.368569,,5.960442,,0,,0,,0,,
42,1.389472,,5.933204,,0,,0,,0,,
43,1.389472,,5.905966,,0,,0,,0,,
44,1.46282,,5.878728,,0,,0,,0,,
45,1.486009,,5.85149,,0,,0,,0,,
46,1.486009,,5.824252,,0,,0,,0,,
47,1.532388,,5.797014,,0,,0,,0,,
48,1.555577,,5.769776,,0,,0,,0,,
49,1.555577,,5.742538,,0,,0,,0,,
50,1.597528,,5.7153,,0,,0,,0,,
51,1.609123,,5.688062,,0,,0,,0,,
52,1.620718,,5.660824,,0,,0,,0,,
53,1.632313,,5.633586,,0,,0,,0,,
54,1.643908,,5.606348,,0,,0,,0,,
55,1.655502,,5.57911,,0,,0,,0,,
56,1.655502,,5.551872,,0,,0,,0,,
57,1.710926,,5.524634,,0,,0,,0,,
58,1.757305,,5.497396,,0,,0,,0,,
59,1.757305,,5.470158,,0,,0,,0,,
60,1.833849,,5.44292,,0,,0,,0,,
61,1.857038,,5.415682,,0,,0,,0,,
62,1.857038,,5.388444,,0,,0,,0,,
63,1.903416,,5.361207,,0,,0,,0,,
64,1.926604,,5.333968,,0,,0,,0,,
65,1.926604,,5.30673,,0,,0,,0,,
66,1.971095,,5.279492,,0,,0,,0,,
67,1.986554,,5.252254,,0,,0,,0,,
68,2.002013,,5.225017,,0,,0,,0,,
69,2.017472,,5.197778,,0,,0,,0,,
70,2.017472,,5.17054,,0,,0,,0,,
71,2.051502,,5.143302,,0,,0,,0,,
72,2.074692,,5.116065,,0,,0,,0,,
73,2.074692,,5.088827,,0,,0,,0,,
74,2.12107,,5.061588,,0,,0,,0,,
75,2.144259,,5.03435,,0,,0,,0,,
76,2.167448,,5.007113,,0,,0,,0,,
77,2.190637,,4.979875,,0,,0,,0,,
78,2.213826,,4.952637,,0,,0,,0,,
79,2.237015,,4.925399,,0,,0,,0,,
80,2.237015,,4.89816,,0,,0,,0,,
81,2.283393,,4.870923,,0,,0,,0,,
82,2.306582,,4.843685,,0,,0,,0,,
83,2.306582,,4.816447,,0,,0,,0,,
84,2.364381,,4.789209,,0,,0,,0,,
85,2.364381,,4.761971,,0,,0,,0,,
86,2.432685,,4.734733,,0,,0,,0,,
87,2.451236,,4.707495,,0,,0,,0,,
88,2.469788,,4.680257,,0,,0,,0,,
89,2.488339,,4.653019,,0,,0,,0,,
90,2.506891,,4.625781,,0,,0,,0,,
91,2.525442,,4.598543,,0,,0,,0,,
92,2.543993,,4.571305,,0,,0,,0,,
93,2.543993,,4.544067,,0,,0,,0,,
94,2.584852,,4.516829,,0,,0,,0,,
95,2.608041,,4.489591,,0,,0,,0,,
96,2.608041,,4.462353,,0,,0,,0,,
97,2.65442,,4.435115,,0,,0,,0,,
98,2.677611,,4.407877,,0,,0,,0,,
99,2.677611,,4.380639,,0,,0,,0,,
100,2.73222,,4.353401,,0,,0,,0,,
101,2.778598,,4.326163,,0,,0,,0,,
102,2.824976,,4.298925,,0,,0,,0,,
103,2.871354,,4.271687,,0,,0,,0,,
104,2.871354,,4.244449,,0,,0,,0,,
105,2.964109,,4.217211,,0,,0,,0,,
106,3.010485,,4.189973,,0,,0,,0,,
107,3.010485,,4.162735,,0,,0,,0,,
108,3.109865,,4.135497,,0,,0,,0,,
109,3.179432,,4.108259,,0,,0,,0,,
110,3.179432,,4.081021,,0,,0,,0,,
111,3.317214,,4.053783,,0,,0,,0,,
112,3.363593,,4.026545,,0,,0,,0,,
113,3.409971,,3.999307,,0,,0,,0,,
114,3.456349,,3.972069,,0,,0,,0,,
115,3.456349,,3.944831,,0,,0,,0,,
116,3.554136,,3.917593,,0,,0,,0,,
117,3.623705,,3.890355,,0,,0,,0,,
118,3.693274,,3.863117,,0,,0,,0,,
119,3.693274,,3.835879,,0,,0,,0,,
120,3.809465,,3.808641,,0,,0,,0,,
121,3.855843,,3.781403,,0,,0,,0,,
122,3.855843,,3.754165,,0,,0,,0,,
123,3.966265,,3.726928,,0,,0,,0,,
124,4.035834,,3.699689,,0,,0,,0,,
125,4.035834,,3.672451,,0,,0,,0,,
126,4.16258,,3.645214,,0,,0,,0,,
127,4.208956,,3.617975,,0,,0,,0,,
128,4.208956,,3.590738,,0,,0,,0,,
129,4.315936,,3.563499,,0,,0,,0,,
130,4.315936,,3.536262,,0,,0,,0,,
131,4.469315,,3.509024,,0,,0,,0,,
132,4.515693,,3.481786,,0,,0,,0,,
133,4.562071,,3.454548,,0,,0,,0,,
134,4.608449,,3.42731,,0,,0,,0,,
135,4.608449,,3.400072,,0,,0,,0,,
136,4.720953,,3.372833,,0,,0,,0,,
137,4.79052,,3.345596,,0,,0,,0,,
138,4.79052,,3.318358,,0,,0,,0,,
139,4.915183,,3.29112,,0,,0,,0,,
140,4.961561,,3.263882,,0,,0,,0,,
141,5.007939,,3.263882,,0,,0,,0,,
142,5.054317,,3.201814,,0,,0,,0,,
143,5.054317,,3.155436,,0,,0,,0,,
144,5.128921,,3.109058,,0,,0,,0,,
145,5.152109,,3.06268,,0,,0,,0,,
146,5.152109,,3.016302,,0,,0,,0,,
147,5.21136,,2.969924,,0,,0,,0,,
148,5.25774,,2.923546,,0,,0,,0,,
149,5.304119,,2.877168,,0,,0,,0,,
150,5.350497,,2.83079,,0,,0,,0,,
151,5.396876,,2.784412,,0,,0,,0,,
152,5.443255,,2.738034,,0,,0,,0,,
153,5.489635,,2.691656,,0,,0,,0,,
154,5.489635,,2.645278,,0,,0,,0,,
155,5.571114,,2.5989,,0,,0,,0,,
156,5.594303,,2.5989,,0,,0,,0,,
157,5.617492,,2.514237,,0,,0,,0,,
158,5.640681,,2.477134,,0,,0,,0,,
159,5.66387,,2.440031,,0,,0,,0,,
160,5.66387,,2.402928,,0,,0,,0,,
161,5.710248,,2.365825,,0,,0,,0,,
162,5.733437,,2.328722,,0,,0,,0,,
163,5.756627,,2.29162,,0,,0,,0,,
164,5.756627,,2.254517,,0,,0,,0,,
165,5.796792,,2.217414,,0,,0,,0,,
166,5.812251,,2.180311,,0,,0,,0,,
167,5.82771,,2.143208,,0,,0,,0,,
168,5.843169,,2.106105,,0,,0,,0,,
169,5.843169,,2.069002,,0,,0,,0,,
170,5.85921,,2.031899,,0,,0,,0,,
171,5.85921,,1.994796,,0,,0,,0,,
172,5.85921,,1.994796,1.947858,,0,,0,,0,
173,5.85921,,1.929813,,0,,0,,0,,
174,5.85921,,1.90526,,0,,0,,0,,
175,5.85921,,1.880707,,0,,0,,0,,
176,5.85921,,1.856154,,0,,0,,0,,
177,5.85921,,1.831601,,0,,0,,0,,
178,5.85921,,1.807048,,0,,0,,0,,
179,5.85921,,1.782494,,0,,0,,0,,
180,5.85921,,1.757941,,0,,0,,0,,
181,5.85921,,1.733388,,0,,0,,0,,
182,5.858243,,1.708835,,0,,0,,0,,
183,5.839693,,1.684282,,0,,0,,0,,
184,5.821142,,1.659729,,0,,0,,0,,
185,5.802592,,1.635176,,0,,0,,0,,
186,5.784041,,1.610623,,0,,0,,0,,
187,5.765491,,1.58607,,0,,0,,0,,
188,5.74694,,1.561517,,0,,0,,0,,
189,5.72839,,1.536963,,0,,0,,0,,
190,5.72839,,1.51241,,0,,0,,0,,
191,5.633533,,1.487857,,0,,0,,0,,
192,5.556231,,1.463304,,0,,0,,0,,
193,5.47893,,1.438751,,0,,0,,0,,
194,5.47893,,1.414198,,0,,0,,0,,
195,5.322134,,1.389645,,0,,0,,0,,
196,5.229379,,1.365092,,0,,0,,0,,
197,5.136624,,1.340539,,0,,0,,0,,
198,5.043869,,1.315986,,0,,0,,0,,
199,4.951114,,1.315986,,0,,0,,0,,
200,4.858359,,1.268684,,0,,0,,0,,
201,4.858359,,1.250133,,0,,0,,0,,
202,4.688773,,1.231581,,0,,0,,0,,
203,4.619204,,1.21303,,0,,0,,0,,
204,4.619204,,1.194479,,0,,0,,0,,
205,4.44812,,1.175927,,0,,0,,0,,
206,4.44812,,1.157376,,0,,0,,0,,
