Time (s),Joy Line,Joy KeyPoint,Fear Line,Fear KeyPoint,Relaxation Line,Relaxation KeyPoint,Boredom Line,Boredom KeyPoint,Presence Line,Presence KeyPoint, Annotation
0,7.76456,,2.768599,,3.10053,,2.765179,,6.791154,,
1,7.76456,,2.768599,,3.10053,,2.765179,,6.791154,,
2,7.76456,,2.768599,,3.10053,,2.765179,,6.791154,,
3,7.76456,,2.768599,,3.10053,,2.765179,,6.791154,,
4,7.76456,,2.768599,,3.10053,,2.765179,,6.791154,,
5,7.76456,,2.768599,,3.10053,,2.765179,,6.791154,,
6,7.757829,,2.768599,,3.10053,,2.765179,,6.791154,,
7,7.711448,,2.768599,,3.10053,,2.765179,,6.791154,,
8,7.665067,,2.768599,,3.10053,,2.765179,,6.791154,,
9,7.665067,,2.768599,,3.10053,,2.765179,,6.791154,,
10,7.665067,,2.768599,,3.127214,,2.751837,,6.771141,,
11,7.607185,,2.768599,,3.158133,,2.736378,,6.747952,,
12,7.583997,,2.768599,,3.189052,,2.720918,,6.747952,,
13,7.56081,,2.795536,,3.219971,,2.705458,,6.713556,,
14,7.56081,,2.795536,,3.219971,,2.705458,,6.710997,,
15,7.543855,,2.795536,,3.274544,,2.694156,,6.708438,,
16,7.55198,,2.849008,,3.297733,,2.699573,,6.70588,,
17,7.560105,,2.863389,,3.297733,,2.704989,,6.703321,,
18,7.56823,,2.87777,,3.359353,,2.710406,,6.700762,,
19,7.576355,,2.892151,,3.405732,,2.715822,,6.698203,,
20,7.584479,,2.906533,,3.452111,,2.721239,,6.695644,,
21,7.592605,,2.920914,,3.49849,,2.726655,,6.693086,,
22,7.600729,,2.935295,,3.49849,,2.732072,,6.690527,,
23,7.608854,,2.949676,,3.590897,,2.737488,,6.687968,,
24,7.616979,,2.964057,,3.636798,,2.742905,,6.685409,,
25,7.625104,,2.978439,,3.6827,,2.748321,,6.68285,,
26,7.633229,,2.99282,,3.728602,,2.753738,,6.680292,,
27,7.641354,,3.007201,,3.774503,,2.759154,,6.677733,,
28,7.649478,,3.021582,,3.820405,,2.764571,,6.675174,,
29,7.657603,,3.035964,,3.866307,,2.769987,,6.672615,,
30,7.665728,,3.050345,,3.912208,,2.775404,,6.670056,,
31,7.673853,,3.064726,,3.95811,,2.78082,,6.667498,,
32,7.681978,,3.079107,,4.004012,,2.786237,,6.664939,,
