frame, datetime, event, canvas, X, Y, mouseX, mouseY, video time
576,14-03-2024 03:15:30.885,Pause button clicked,,,,,,0
631,14-03-2024 03:15:31.820,Pause button clicked,,,,,,1.83333333333333
812,14-03-2024 03:15:34.834,Key Point mode selected,,,,,,1.86666666666667
856,14-03-2024 03:15:35.574,Key Point plotted,Joy,193.2444,6.390137,16.38667,5.408125,1.86666666666667
942,14-03-2024 03:15:37.003,Slider clicked,,,,,,1.86666666666667
1013,14-03-2024 03:15:38.184,Slider released,,,,,,193.233333333333
1066,14-03-2024 03:15:39.067,Key Point plotted,Fear,193.8998,5.975405,16.39187,3.507083,193.233333333333
1125,14-03-2024 03:15:40.053,Key Point plotted,Relaxation,191.933,3.006622,16.37625,1.168542,193.233333333333
1189,14-03-2024 03:15:41.117,Key Point plotted,Boredom,187.3437,5.817299,16.33979,-0.1699997,193.233333333333
1242,14-03-2024 03:15:42.000,Key Point plotted,Presence,189.3105,5.519324,16.35542,-2.071042,193.233333333333
1295,14-03-2024 03:15:42.886,5 valid points found annotation window shown,,,,16.38485,,193.233333333333
1681,14-03-2024 03:15:49.323,Annotation written: road !!!!!!!!​,,,,,,193.233333333333
1828,14-03-2024 03:15:51.767,Slider clicked,,,,,,193.233333333333
1889,14-03-2024 03:15:52.782,Slider released,,,,,,265.166666666667
1928,14-03-2024 03:15:53.436,Previous annotation clicked,,,,,,193.233333333333
2112,14-03-2024 03:15:56.507,Annotation written: road !!!!!!!!​​,,,,,,193.233333333333
2342,14-03-2024 03:16:00.332,Slider clicked,,,,,,193.233333333333
2396,14-03-2024 03:16:01.232,Slider released,,,,,,193.233333333333
2533,14-03-2024 03:16:03.516,Slider clicked,,,,,,332.766666666667
2577,14-03-2024 03:16:04.249,Slider released,,,,,,332.766666666667
2688,14-03-2024 03:16:06.100,Key Point plotted,Joy,447.6157,9.005001,18.4075,5.856042,450.366666666667
2760,14-03-2024 03:16:07.300,Key Point plotted,Fear,447.6157,1.809866,18.4075,2.793542,450.366666666667
2812,14-03-2024 03:16:08.165,Key Point plotted,Relaxation,451.5493,7.628243,18.43875,1.960208,450.366666666667
2867,14-03-2024 03:16:09.085,Key Point plotted,Boredom,447.6157,6.090947,18.4075,-0.1231248,450.366666666667
2938,14-03-2024 03:16:10.267,Key Point plotted,Presence,451.5493,1.931487,18.43875,-2.685625,450.366666666667
2988,14-03-2024 03:16:11.101,5 valid points found annotation window shown,,,,18.42552,,450.366666666667
3097,14-03-2024 03:16:12.919,Annotation written: road !!!!!!!!​​,,,,,,450.366666666667
3167,14-03-2024 03:16:14.082,Slider clicked,,,,,,450.366666666667
3208,14-03-2024 03:16:14.765,Slider released,,,,,,450.366666666667
3282,14-03-2024 03:16:15.999,Key Point plotted,Joy,770.8249,0.9475707,20.97521,4.475834,773.533333333333
3344,14-03-2024 03:16:17.032,Key Point plotted,Fear,772.136,7.830135,20.98562,3.824792,773.533333333333
3415,14-03-2024 03:16:18.216,Key Point plotted,Relaxation,773.4471,7.597838,20.99604,1.955,773.533333333333
3489,14-03-2024 03:16:19.452,Key Point plotted,Boredom,778.0364,6.030136,21.0325,-0.1335416,773.533333333333
3572,14-03-2024 03:16:20.834,Key Point plotted,Presence,770.825,2.843649,20.97521,-2.529375,773.533333333333
3593,14-03-2024 03:16:21.183,5 valid points found annotation window shown,,,,20.99017,,773.533333333333
3705,14-03-2024 03:16:23.056,Annotation written: road !!!!!!!!​​,,,,,,773.533333333333
3838,14-03-2024 03:16:25.265,Slider clicked,,,,,,773.533333333333
3897,14-03-2024 03:16:26.249,Slider released,,,,,,773.533333333333
3943,14-03-2024 03:16:27.017,Pause button clicked,,,,,,1035.26666666667
4055,14-03-2024 03:16:28.884,Pause button clicked,,,,,,1039
4114,14-03-2024 03:16:29.865,Key Point plotted,Joy,1039.619,6.907028,23.11062,5.496667,1039
4262,14-03-2024 03:16:32.332,Key Point plotted,Relaxation,1035.686,3.037027,23.07937,1.17375,1039
4324,14-03-2024 03:16:33.366,Key Point plotted,Boredom,1038.308,6.060542,23.10021,-0.1283331,1039
4396,14-03-2024 03:16:34.566,Key Point plotted,Presence,1036.342,4.576757,23.08458,-2.2325,1039
4603,14-03-2024 03:16:38.018,Key Point plotted,Fear,1036.997,3.907838,23.08979,3.152917,1039
4658,14-03-2024 03:16:38.934,5 valid points found annotation window shown,,,,23.09651,,1039
4747,14-03-2024 03:16:40.418,Annotation written: road !!!!!!!!​​,,,,,,1039
4890,14-03-2024 03:16:42.799,Slider clicked,,,,,,1039
4992,14-03-2024 03:16:44.499,Slider released,,,,,,1318.7
5096,14-03-2024 03:16:46.234,Pause button clicked,,,,,,1316.06666666667
5293,14-03-2024 03:16:49.517,Pause button clicked,,,,,,1317.03333333333
5323,14-03-2024 03:16:50.022,Pause button clicked,,,,,,1317.03333333333
6543,14-03-2024 03:17:10.349,Pause button clicked,,,,,,1372.63333333333
6617,14-03-2024 03:17:11.582,Key Point plotted,Joy,1375.94,0.5218932,25.7825,4.402917,1372.63333333333
6684,14-03-2024 03:17:12.699,Key Point plotted,Fear,1371.351,4.789596,25.74604,3.303959,1372.63333333333
6747,14-03-2024 03:17:13.748,Key Point plotted,Relaxation,1370.04,2.520136,25.73562,1.085209,1372.63333333333
6795,14-03-2024 03:17:14.550,Key Point plotted,Boredom,1367.418,3.780137,25.71479,-0.5189581,1372.63333333333
6843,14-03-2024 03:17:15.350,Key Point plotted,Presence,1364.14,6.492298,25.68875,-1.904375,1372.63333333333
6846,14-03-2024 03:17:15.404,5 valid points found annotation window shown,,,,25.74423,,1372.63333333333
6992,14-03-2024 03:17:17.839,Annotation written: road !!!!!!!!​​,,,,,,1372.63333333333
7067,14-03-2024 03:17:19.082,Slider clicked,,,,,,1372.63333333333
7073,14-03-2024 03:17:19.184,Slider released,,,,,,1372.63333333333
7211,14-03-2024 03:17:21.485,Pause button clicked,,,,,,1372.63333333333
7303,14-03-2024 03:17:23.016,Slider clicked,,,,,,1374.16666666667
7308,14-03-2024 03:17:23.100,Slider released,,,,,,1374.23333333333
7375,14-03-2024 03:17:24.217,Pause button clicked,,,,,,1375.36666666667
7420,14-03-2024 03:17:24.965,Slider clicked,,,,,,1375.36666666667
7425,14-03-2024 03:17:25.054,Slider released,,,,,,1375.36666666667
7487,14-03-2024 03:17:26.085,Pause button clicked,,,,,,1375.36666666667
7565,14-03-2024 03:17:27.384,Slider clicked,,,,,,1376.66666666667
7589,14-03-2024 03:17:27.782,Slider released,,,,,,1376.8
7685,14-03-2024 03:17:29.384,Pause button clicked,,,,,,1571.5
7715,14-03-2024 03:17:29.884,Pause button clicked,,,,,,1571.5
8887,14-03-2024 03:17:49.417,Pause button clicked,,,,,,1610.6
9172,14-03-2024 03:17:54.172,Key Point plotted,Joy,1628.345,6.876624,27.78771,5.491459,1611
9242,14-03-2024 03:17:55.333,Key Point plotted,Relaxation,1602.777,6.229595,27.58458,1.720625,1611
9289,14-03-2024 03:17:56.124,Key Point plotted,Fear,1610.644,3.269325,27.64708,3.043542,1611
9364,14-03-2024 03:17:57.366,Key Point plotted,Boredom,1603.433,6.547028,27.58979,-0.04499984,1611
9426,14-03-2024 03:17:58.399,Key Point plotted,Presence,1610.644,3.96865,27.64708,-2.336666,1611
9431,14-03-2024 03:17:58.484,5 valid points found annotation window shown,,,,27.63168,,1611
9603,14-03-2024 03:18:01.353,Annotation written: road !!!!!!!!​​,,,,,,1611
9736,14-03-2024 03:18:03.570,Line drawing mode selected,,,,,,1611
10222,14-03-2024 03:18:11.675,Left click initiated,Joy,28.03395,1.19081,15.07417,4.5175,1611
10222,14-03-2024 03:18:11.676,Line auto-connected to start,Joy,28.03395,1.19081,15.07417,4.5175,1611
10636,14-03-2024 03:18:18.617,Line finished drawing,Joy,1802.734,6.694192,29.17312,5.460209,1611
10730,14-03-2024 03:18:20.182,Left click initiated,Fear,28.6894,1.627433,15.07937,2.762292,1802.73333333333
10730,14-03-2024 03:18:20.182,Line auto-connected to start,Fear,28.6894,1.627433,15.07937,2.762292,1802.73333333333
11044,14-03-2024 03:18:25.416,Left click initiated,Relaxation,45.0794,2.155272,15.20958,1.022709,1805.33333333333
11044,14-03-2024 03:18:25.416,Line auto-connected to start,Relaxation,45.0794,2.155272,15.20958,1.022709,1805.33333333333
11307,14-03-2024 03:18:29.798,Left click initiated,Boredom,47.70174,4.844325,15.23042,-0.3366666,1804.7
11307,14-03-2024 03:18:29.799,Line auto-connected to start,Boredom,47.70174,4.844325,15.23042,-0.3366666,1804.7
11585,14-03-2024 03:18:34.431,Left click initiated,Presence,25.4115,4.637567,15.05333,-2.222083,1795.5
11585,14-03-2024 03:18:34.431,Line auto-connected to start,Presence,25.4115,4.637567,15.05333,-2.222083,1795.5
11870,14-03-2024 03:18:39.247,Line validation passed,,,,,,1798.8
11870,14-03-2024 03:18:39.251,Point validation passed,,,,,,1798.8
11870,14-03-2024 03:18:39.251,Export window opened,,,,,,1798.8
12008,14-03-2024 03:18:41.800,Export window closed,,,,,,1798.8
