Time (s),Joy Line,Joy KeyPoint,Fear Line,Fear KeyPoint,Relaxation Line,Relaxation KeyPoint,Boredom Line,Boredom KeyPoint,Presence Line,Presence KeyPoint, Annotation
0,1.817635,,0,,0,,0,,0,,
1,1.817635,,0,,0,,0,,0,,
2,1.817635,,0,,0,,0,,0,,
3,1.817635,,0,,0,,0,,0,,
4,1.817635,,0,,0,,0,,0,,
5,1.817635,,0,,0,,0,,0,,
6,1.817635,,0,,0,,0,,0,,
7,1.817635,,0,,0,,0,,0,,
8,1.817635,,0,,0,,0,,0,,
9,1.817635,,0,,0,,0,,0,,
10,1.817635,,0,,0,,0,,0,,
11,1.817635,,0,,0,,0,,0,,
12,1.817635,,0,,0,,0,,0,,
13,1.817635,,0,,0,,0,,0,,
14,1.817635,,0,,0,,0,,0,,
15,1.831314,,0,,0,,0,,0,,
16,1.846773,,0,,0,,0,,0,,
17,1.862232,,0,,0,,0,,0,,
18,1.877692,,0,,0,,0,,0,,
19,1.893151,,0,,0,,0,,0,,
20,1.90861,,0,,0,,0,,0,,
21,1.924069,,0,,0,,0,,0,,
22,1.939529,,0,,0,,0,,0,,
23,1.954988,,0,,0,,0,,0,,
24,1.970447,,0,,0,,0,,0,,
25,1.985906,,0,,0,,0,,0,,
26,2.001366,,0,,0,,0,,0,,
27,2.016825,,0,,0,,0,,0,,
28,2.032284,,0,,0,,0,,0,,
29,2.047743,,0,,0,,0,,0,,
30,2.063203,,0,,0,,0,,0,,
31,2.078662,,0,,0,,0,,0,,
32,2.094121,,0,,0,,0,,0,,
33,2.094121,,0,,0,,0,,0,,
34,2.123032,,0,,0,,0,,0,,
35,2.134627,,0,,0,,0,,0,,
36,2.146221,,0,,0,,0,,0,,
37,2.157816,,0,,0,,0,,0,,
38,2.169411,,0,,0,,0,,0,,
39,2.181006,,0,,0,,0,,0,,
40,2.1926,,0,,0,,0,,0,,
41,2.204195,,0,,0,,0,,0,,
42,2.21579,,0,,0,,0,,0,,
43,2.227385,,0,,0,,0,,0,,
44,2.23898,,0,,0,,0,,0,,
45,2.250574,,0,,0,,0,,0,,
46,2.250574,,0,,0,,0,,0,,
47,2.278811,,0,,0,,0,,0,,
48,2.298687,,0,,0,,0,,0,,
49,2.318563,,0,,0,,0,,0,,
50,2.338439,,0,,0,,0,,0,,
51,2.358315,,0,,0,,0,,0,,
52,2.378192,,0,,0,,0,,0,,
53,2.398068,,0,,0,,0,,0,,
54,2.417944,,0,,0,,0,,0,,
55,2.43782,,0,,0,,0,,0,,
56,2.457697,,0,,0,,0,,0,,
57,2.457697,,0,,0,,0,,0,,
58,2.498486,,0,,0,,0,,0,,
59,2.521675,,0,,0,,0,,0,,
60,2.544864,,0,,0,,0,,0,,
61,2.568054,,0,,0,,0,,0,,
62,2.591243,,0,,0,,0,,0,,
63,2.614433,,0,,0,,0,,0,,
64,2.637622,,0,,0,,0,,0,,
65,2.660811,,0,,0,,0,,0,,
66,2.684001,,0,,0,,0,,0,,
67,2.684001,,0,,0,,0,,0,,
68,2.736643,,0,,0,,0,,0,,
69,2.769769,,0,,0,,0,,0,,
70,2.802896,,0,,0,,0,,0,,
71,2.836023,,0,,0,,0,,0,,
72,2.86915,,0,,0,,0,,0,,
73,2.902277,,0,,0,,0,,0,,
74,2.935404,,0,,0,,0,,0,,
75,2.968531,,0,,0,,0,,0,,
76,3.001657,,0,,0,,0,,0,,
77,3.034784,,0,,0,,0,,0,,
78,3.034784,,0,,0,,0,,0,,
79,3.101591,,0,,0,,0,,0,,
80,3.136375,,0,,0,,0,,0,,
81,3.171159,,0,,0,,0,,0,,
82,3.205943,,0,,0,,0,,0,,
83,3.240727,,0,,0,,0,,0,,
84,3.275511,,0,,0,,0,,0,,
85,3.310294,,0,,0,,0,,0,,
86,3.345078,,0,,0,,0,,0,,
87,3.379862,,0,,0,,0,,0,,
88,3.414646,,0,,0,,0,,0,,
89,3.44943,,0,,0,,0,,0,,
90,3.484214,,0,,0,,0,,0,,
91,3.484214,,0,,0,,0,,0,,
92,3.558693,,0,,0,,0,,0,,
93,3.605071,,0,,0,,0,,0,,
94,3.651448,,0,,0,,0,,0,,
95,3.697825,,0,,0,,0,,0,,
96,3.744203,,0,,0,,0,,0,,
97,3.790581,,0,,0,,0,,0,,
98,3.836958,,0,,0,,0,,0,,
99,3.883335,,0,,0,,0,,0,,
100,3.929713,,0,,0,,0,,0,,
101,3.97609,,0,,0,,0,,0,,
102,3.97609,,0,,0,,0,,0,,
103,4.068004,,0,,0,,0,,0,,
104,4.107757,,0,,0,,0,,0,,
105,4.14751,,0,,0,,0,,0,,
106,4.187263,,0,,0,,0,,0,,
107,4.227017,,0,,0,,0,,0,,
108,4.26677,,0,,0,,0,,0,,
109,4.306523,,0,,0,,0,,0,,
110,4.346277,,0,,0,,0,,0,,
111,4.38603,,0,,0,,0,,0,,
112,4.425784,,0,,0,,0,,0,,
113,4.465537,,0,,0,,0,,0,,
114,4.465537,,0,,0,,0,,0,,
115,4.540915,,0,,0,,0,,0,,
116,4.575698,,0,,0,,0,,0,,
117,4.610481,,0,,0,,0,,0,,
118,4.645265,,0,,0,,0,,0,,
119,4.680048,,0,,0,,0,,0,,
120,4.714832,,0,,0,,0,,0,,
121,4.749615,,0,,0,,0,,0,,
122,4.784399,,0,,0,,0,,0,,
123,4.819182,,0,,0,,0,,0,,
124,4.853966,,0,,0,,0,,0,,
125,4.888749,,0,,0,,0,,0,,
126,4.923532,,0,,0,,0,,0,,
127,4.923532,,0,,0,,0,,0,,
128,4.986695,,0,,0,,0,,0,,
129,5.014522,,0,,0,,0,,0,,
130,5.042349,,0,,0,,0,,0,,
131,5.070176,,0,,0,,0,,0,,
132,5.098002,,0,,0,,0,,0,,
133,5.125829,,0,,0,,0,,0,,
134,5.153656,,0,,0,,0,,0,,
135,5.153656,5.185611,,0,,0,,0,,0,
136,5.196897,,0,,0,,0,,0,,
137,5.210147,,0,,0,,0,,0,,
138,5.223399,,0,,0,,0,,0,,
139,5.23665,,0,,0,,0,,0,,
140,5.249901,,0,,0,,0,,0,,
141,5.263152,,0,,0,,0,,0,,
142,5.276403,,0,,0,,0,,0,,
143,5.289654,,0,,0,,0,,0,,
144,5.302906,,0,,0,,0,,0,,
145,5.316156,,0,,0,,0,,0,,
146,5.316156,,0,,0,,0,,0,,
147,5.339593,,0,,0,,0,,0,,
148,5.347323,,0,,0,,0,,0,,
149,5.355052,,0,,0,,0,,0,,
150,5.362782,,0,,0,,0,,0,,
151,5.370511,,0,,0,,0,,0,,
152,5.378241,,0,,0,,0,,0,,
153,5.38597,,0,,0,,0,,0,,
154,5.3937,,0,,0,,0,,0,,
155,5.401429,,0,,0,,0,,0,,
156,5.401429,,0,,0,,0,,0,,
157,5.402051,,0,,0,,0,,0,,
158,5.392776,,0,,0,,0,,0,,
159,5.383501,,0,,0,,0,,0,,
160,5.374225,,0,,0,,0,,0,,
161,5.364949,,0,,0,,0,,0,,
162,5.355674,,0,,0,,0,,0,,
163,5.346398,,0,,0,,0,,0,,
164,5.346398,,0,,0,,0,,0,,
165,5.316665,,0,,0,,0,,0,,
166,5.293476,,0,,0,,0,,0,,
167,5.293476,,0,,0,,0,,0,,
168,5.247098,,0,,0,,0,,0,,
169,5.223909,,0,,0,,0,,0,,
170,5.20072,,0,,0,,0,,0,,
171,5.177531,,0,,0,,0,,0,,
172,5.154342,,0,,0,,0,,0,,
173,5.131153,,0,,0,,0,,0,,
174,5.107964,,0,,0,,0,,0,,
175,5.084774,,0,,0,,0,,0,,
176,5.061585,,0,,0,,0,,0,,
177,5.061585,,0,,0,,0,,0,,
178,5.008301,,0,,0,,0,,0,,
179,4.977383,,0,,0,,0,,0,,
180,4.946465,,0,,0,,0,,0,,
181,4.946465,,0,,0,,0,,0,,
182,4.884514,,0,,0,,0,,0,,
183,4.851387,,0,,0,,0,,0,,
184,4.818259,,0,,0,,0,,0,,
185,4.785132,,0,,0,,0,,0,,
186,4.752005,,0,,0,,0,,0,,
187,4.718878,,0,,0,,0,,0,,
188,4.68575,,0,,0,,0,,0,,
189,4.652623,,0,,0,,0,,0,,
190,4.619496,,0,,0,,0,,0,,
191,4.586369,,0,,0,,0,,0,,
192,4.553242,,0,,0,,0,,0,,
193,4.553242,,0,,0,,0,,0,,
194,4.476973,,0,,0,,0,,0,,
195,4.430593,,0,,0,,0,,0,,
196,4.384212,,0,,0,,0,,0,,
197,4.337831,,0,,0,,0,,0,,
198,4.337831,,0,,0,,0,,0,,
199,4.266278,,0,,0,,0,,0,,
200,4.243089,,0,,0,,0,,0,,
201,4.2199,,0,,0,,0,,0,,
202,4.196711,,0,,0,,0,,0,,
203,4.173522,,0,,0,,0,,0,,
204,4.150333,,0,,0,,0,,0,,
205,4.127144,,0,,0,,0,,0,,
206,4.103955,,0,,0,,0,,0,,
207,4.080766,,0,,0,,0,,0,,
208,4.057577,,0,,0,,0,,0,,
209,4.034388,,0,,0,,0,,0,,
210,4.034388,,0,,0,,0,,0,,
211,3.988059,,0,,0,,0,,0,,
212,3.976465,,0,,0,,0,,0,,
213,3.964871,,0,,0,,0,,0,,
214,3.953277,,0,,0,,0,,0,,
215,3.941683,,0,,0,,0,,0,,
216,3.930089,,0,,0,,0,,0,,
217,3.930089,,0,,0,,0,,0,,
218,3.91072,,0,,0,,0,,0,,
219,3.906082,,0,,0,,0,,0,,
220,3.901445,,0,,0,,0,,0,,
221,3.896807,,5.675148,,0,,0,,0,,
222,3.892169,,5.675148,,0,,0,,0,,
223,3.887532,,5.629288,,0,,0,,0,,
224,3.882894,,5.649164,,0,,0,,0,,
225,3.878256,,5.66904,,0,,0,,0,,
226,3.873619,,5.688916,,0,,0,,0,,
227,3.868981,,5.708792,,0,,0,,0,,
228,3.864343,,5.728668,,0,,0,,0,,
229,3.859706,,5.748544,,0,,0,,0,,
230,3.855068,,5.76842,,0,,0,,0,,
231,3.85043,,5.788296,,0,,0,,0,,
232,3.845793,,5.808172,,0,,0,,0,,
233,3.845793,,5.808172,,0,,0,,0,,
234,3.838424,,5.851194,,0,,0,,0,,
235,3.838424,,5.879022,,0,,0,,0,,
236,3.838424,,5.906849,,0,,0,,0,,
237,3.838424,,5.934676,,0,,0,,0,,
238,3.838424,,5.962503,,0,,0,,0,,
239,3.838424,,5.99033,,0,,0,,0,,
240,3.838424,,6.018157,,0,,0,,0,,
241,3.838424,,6.018157,,0,,0,,0,,
242,3.84504,,6.076988,,0,,0,,0,,
243,3.864364,,6.114091,,0,,0,,0,,
244,3.883688,,6.151195,,0,,0,,0,,
245,3.903012,,6.188298,,0,,0,,0,,
246,3.922336,,6.2254,,0,,0,,0,,
247,3.94166,,6.262504,,0,,0,,0,,
248,3.960984,,6.299607,,0,,0,,0,,
249,3.980309,,6.299607,,0,,0,,0,,
250,3.999633,,6.370006,,0,,0,,0,,
251,4.018957,,6.393195,,0,,0,,0,,
252,4.038281,,6.416384,,0,,0,,0,,
253,4.057605,,6.439574,,0,,0,,0,,
254,4.076929,,6.462763,,0,,0,,0,,
255,4.096253,,6.485952,,0,,0,,0,,
256,4.115577,,6.509141,,0,,0,,0,,
257,4.134901,,6.532331,,0,,0,,0,,
258,4.154225,,6.55552,,0,,0,,0,,
259,4.173549,,6.578709,,0,,0,,0,,
260,4.192873,,6.601898,,0,,0,,0,,
261,4.192873,,6.625088,,0,,0,,0,,
262,4.239829,,6.625088,,0,,0,,0,,
263,4.267656,,6.666409,,0,,0,,0,,
264,4.295483,,6.675684,,0,,0,,0,,
265,4.32331,,6.68496,,0,,0,,0,,
266,4.351138,,6.694235,,0,,0,,0,,
267,4.378965,,6.703511,,0,,0,,0,,
268,4.406792,,6.712786,,0,,0,,0,,
269,4.406792,,6.722062,,0,,0,,0,,
270,4.460866,,6.722062,,0,,0,,0,,
271,4.486954,,6.741295,,0,,0,,0,,
272,4.513042,,6.75289,,0,,0,,0,,
273,4.53913,,6.764484,,0,,0,,0,,
274,4.565217,,6.776079,,0,,0,,0,,
275,4.591305,,6.787673,,0,,0,,0,,
276,4.617393,,6.799268,,0,,0,,0,,
277,4.643481,,6.799268,,0,,0,,0,,
278,4.669568,,6.822457,,0,,0,,0,,
279,4.695656,,6.834052,,0,,0,,0,,
280,4.721744,,6.845646,,0,,0,,0,,
281,4.747831,,6.85724,,0,,0,,0,,
282,4.773919,,6.868835,,0,,0,,0,,
283,4.800007,,6.868835,,0,,0,,0,,
284,4.826095,,6.887567,,0,,0,,0,,
285,4.852182,,6.887567,,0,,0,,0,,
286,4.87827,,6.887567,,0,,0,,0,,
287,4.904357,,6.887567,,0,,0,,0,,
288,4.930445,,6.887567,,0,,0,,0,,
289,4.956533,,6.887567,,0,,0,,0,,
290,4.982621,,6.887567,,0,,0,,0,,
291,5.008708,,6.887567,,0,,0,,0,,
292,5.034796,,6.887567,,0,,0,,0,,
293,5.060884,,6.887567,,0,,0,,0,,
294,5.060884,,6.887567,,0,,0,,0,,
295,5.112805,,6.887567,,0,,0,,0,,
296,5.135994,,6.887567,,0,,0,,0,,
297,5.159183,,6.887567,,0,,0,,0,,
298,5.182372,,6.887567,,0,,0,,0,,
299,5.205561,,6.887567,,0,,0,,0,,
300,5.22875,,6.885934,,0,,0,,0,,
301,5.251939,,6.879309,,0,,0,,0,,
302,5.275128,,6.872683,,0,,0,,0,,
303,5.298317,,6.866058,,0,,0,,0,,
304,5.298317,,6.859432,,0,,0,,0,,
305,5.340938,,6.852807,,0,,0,,0,,
306,5.354852,,6.846181,,0,,0,,0,,
307,5.368765,,6.839556,,0,,0,,0,,
308,5.382679,,6.832931,,0,,0,,0,,
309,5.396593,,6.826305,,0,,0,,0,,
310,5.410506,,6.81968,,0,,0,,0,,
311,5.42442,,6.81968,,0,,0,,0,,
312,5.438334,,6.803911,,0,,0,,0,,
313,5.452247,,6.794636,,0,,0,,0,,
314,5.466161,,6.78536,,0,,0,,0,,
315,5.480074,,6.776084,,0,,0,,0,,
316,5.493988,,6.766809,,0,,0,,0,,
317,5.507901,,6.757534,,0,,0,,0,,
318,5.521815,,6.748258,,0,,0,,0,,
319,5.535728,,6.748258,,0,,0,,0,,
320,5.535728,,6.717444,,0,,0,,0,,
321,5.559835,5.559835,6.694255,,0,,0,,0,,
322,5.559835,,6.671066,,0,,0,,0,,
323,5.559835,,6.647877,,0,,0,,0,,
324,5.559835,,6.624688,,0,,0,,0,,
325,5.559835,,6.601499,,0,,0,,0,,
326,5.559835,,6.57831,,0,,0,,0,,
327,5.559835,,6.555121,,0,,0,,0,,
328,5.559835,,6.555121,,0,,0,,0,,
329,5.556765,,6.507207,,0,,0,,0,,
330,5.541305,,6.476289,,0,,0,,0,,
331,5.525846,,6.44537,,0,,0,,0,,
332,5.510386,,6.414451,,0,,0,,0,,
