Time (s),Joy Line,Joy KeyPoint,Fear Line,Fear KeyPoint,Relaxation Line,Relaxation KeyPoint,Boredom Line,Boredom KeyPoint,Presence Line,Presence KeyPoint, Annotation
0,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
1,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
2,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
3,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
4,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
5,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
6,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
7,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
8,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
9,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
10,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
11,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
12,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
13,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
14,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
15,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
16,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
17,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
18,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
19,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
20,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
21,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
22,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
23,1.144036,,2.172391,,6.344202,,2.14994,,2.097546,,
24,1.144036,,2.172391,,6.344202,,2.154633,,2.097546,,
25,1.144036,,2.172391,,6.344202,,2.177821,,2.097546,,
26,1.144036,,2.172391,,6.339653,,2.20101,,2.097546,,
27,1.144036,,2.172391,,6.331923,,2.20101,,2.097546,,
28,1.144036,,2.172391,,6.324193,,2.247387,,2.097546,,
29,1.144036,,2.180762,,6.316463,,2.270576,,2.097546,,
30,1.144036,,2.203951,,6.308734,,2.293766,,2.097546,,
31,1.144036,,2.22714,,6.301004,,2.316955,,2.097546,,
32,1.144036,,2.250329,,6.293275,,2.340144,,2.097546,,
33,1.144036,,2.273518,,6.285545,,2.340144,,2.097546,,
34,1.144036,,2.296707,,6.277815,,2.374472,,2.097546,,
35,1.144036,,2.296707,,6.277815,,2.374472,,2.097546,,
36,1.144036,,2.343085,,6.269358,,2.374472,,2.097546,,
37,1.144036,,2.366275,,6.269358,,2.381248,,2.097546,,
38,1.144036,,2.366275,,6.269358,,2.404436,,2.097546,,
39,1.144036,,2.428384,,6.27565,,2.404436,,2.097546,,
40,1.144036,,2.474764,,6.284925,,2.449914,,2.098544,,
