Time (s),Joy Line,Joy KeyPoint,Fear Line,Fear KeyPoint,Relaxation Line,Relaxation KeyPoint,Boredom Line,Boredom KeyPoint,Presence Line,Presence KeyPoint, Annotation
0,4.1378,,6.588194,,3.649815,,7.014804,,4.567401,,
1,4.1378,,6.588194,,3.649815,,7.014804,,4.567401,,
2,4.1378,,6.588194,,3.649815,,7.014804,,4.567401,,
3,4.1378,,6.588194,,3.649815,,7.014804,,4.567401,,
4,4.1378,,6.588194,,3.649815,,7.014804,,4.567401,,
5,4.1378,,6.588194,,3.649815,,7.014804,,4.567401,,
6,4.1378,,6.588194,,3.649815,,7.014804,,4.567401,,
7,4.1378,,6.588194,,3.649815,,7.014804,,4.567401,,
8,4.094482,,6.588194,,3.649815,,6.790271,,4.567401,,
9,4.094482,,6.588194,,3.649815,,6.790271,,4.567401,,
10,4.094482,,6.588194,,3.649815,,6.77343,,4.567401,,
11,4.217856,,6.288816,,3.649815,,6.750242,,4.567401,,
12,4.217856,,6.288816,,3.649815,,6.750242,,4.567401,,
13,4.287485,,6.288816,,3.655597,,6.715429,,4.567401,,
14,4.287485,,6.288816,,3.667192,,6.715429,,4.567401,,
15,4.287485,,6.288816,,3.678786,,6.715429,,4.567401,,
16,4.362333,,6.363661,,3.690381,,6.711236,,4.57369,,
17,4.362333,,6.363661,,3.701976,,6.695777,,4.59688,,
18,4.362333,,6.363661,,3.701976,,6.680318,,4.59688,,
19,4.362333,,6.363661,,3.724658,,6.664858,,4.642246,,
20,4.362333,,6.363661,,3.724658,,6.664858,,4.642246,,
21,4.382263,,6.363661,,3.724658,,6.640585,,4.642246,,
22,4.382263,,6.363661,,3.724658,,6.640585,,4.642246,,
23,4.382263,,6.363661,,3.724658,,6.640585,,4.642246,,
24,4.446555,,6.363661,,3.724658,,6.638238,,4.642246,,
25,4.446555,,6.363661,,3.724658,,6.626644,,4.642246,,
26,4.512018,,6.390955,,3.751953,,6.61505,,4.642246,,
27,4.512018,,6.390955,,3.751953,,6.603455,,4.642246,,
28,4.512018,,6.390955,,3.799503,,6.591861,,4.642246,,
29,4.586866,,6.438505,,3.799503,,6.580266,,4.633874,,
30,4.586866,,6.438505,,3.799503,,6.580266,,4.610685,,
31,4.586866,,6.438505,,3.799503,,6.580266,,4.610685,,
32,4.661708,,6.444693,,3.799503,,6.568834,,4.567401,,
33,4.661708,,6.444693,,3.799503,,6.592023,,4.567401,,
34,4.685803,,6.513349,,3.823603,,6.615212,,4.55535,,
35,4.685803,,6.513349,,3.823603,,6.615212,,4.53216,,
36,4.685803,,6.513349,,3.823603,,6.615212,,4.53216,,
37,4.811399,,6.588194,,3.881123,,6.654135,,4.492556,,
38,4.811399,,6.588194,,3.904312,,6.654135,,4.492556,,
39,4.811399,,6.588194,,3.904312,,6.654135,,4.492556,,
40,4.889231,,6.513349,,3.952187,,6.715429,,4.489561,,
41,4.889231,,6.513349,,3.952187,,6.715429,,4.489561,,
42,4.961078,,6.471533,,4.044942,,6.736337,,4.417713,,
43,4.961078,,6.471533,,4.044942,,6.736337,,4.417713,,
44,4.961078,,6.471533,,4.044942,,6.80968,,4.417713,,
45,5.046274,,6.353308,,4.184076,,6.83287,,4.40736,,
46,5.046274,,6.353308,,4.184076,,6.83287,,4.40736,,
47,5.110769,,6.288816,,4.276833,,6.879249,,4.342868,,
48,5.110769,,6.288816,,4.276833,,6.902438,,4.342868,,
49,5.110769,,6.288816,,4.276833,,6.902438,,4.342868,,
50,5.203319,,6.288816,,4.398255,,6.957671,,4.325157,,
51,5.203319,,6.288816,,4.398255,,6.957671,,4.325157,,
52,5.278269,,6.288816,,4.398255,,6.957671,,4.325157,,
53,5.301457,,6.288816,,4.405411,,7.018382,,4.26087,,
54,5.301457,,6.288816,,4.405411,,7.041572,,4.26087,,
55,5.335302,,6.288816,,4.523238,,7.064762,,4.168111,,
56,5.335302,,6.288816,,4.523238,,7.064762,,4.168111,,
57,5.335302,,6.288816,,4.651443,,7.064762,,4.096845,,
58,5.424655,,6.288816,,4.682362,,7.164493,,4.073655,,
59,5.424655,,6.288816,,4.713281,,7.164493,,4.073655,,
60,5.424655,,6.288816,,4.713281,,7.164493,,4.073655,,
61,5.48895,,6.288816,,4.77644,,7.164493,,3.964687,,
62,5.48895,,6.288816,,4.77644,,7.164493,,3.964687,,
63,5.60358,,6.310694,,4.891074,,7.164493,,3.871928,,
64,5.60358,,6.310694,,4.891074,,7.164493,,3.871928,,
65,5.60358,,6.310694,,4.891074,,7.164493,,3.871928,,
66,5.720841,,6.374982,,5.083173,,7.164493,,3.732796,,
67,5.720841,,6.374982,,5.083173,,7.164493,,3.732796,,
68,5.720841,,6.374982,,5.083173,,7.164493,,3.669274,,
69,5.85946,,6.439276,,5.222311,,7.164694,,3.669274,,
70,5.874595,,6.439276,,5.222311,,7.176802,,3.669274,,
71,5.88973,,6.525087,,5.315064,,7.188909,,3.669274,,
72,5.904865,,6.554232,,5.315064,,7.201017,,3.669274,,
73,5.92,,6.583376,,5.315064,,7.213125,,3.669274,,
74,5.935134,,6.612521,,5.446072,,7.225233,,3.669274,,
75,5.950269,,6.641665,,5.446072,,7.23734,,3.669274,,
76,5.965404,,6.67081,,5.498151,,7.249448,,3.669274,,
77,5.980539,,6.699955,,5.498151,,7.261556,,3.669274,,
78,5.995674,,6.729099,,5.498151,,7.273663,,3.669274,,
79,6.010808,,6.758244,,5.626732,,7.285771,,3.669274,,
80,6.025943,,6.787388,,5.626732,,7.297879,,3.669274,,
81,6.041078,,6.816533,,5.80163,,7.309987,,3.669274,,
