Time (s),Joy Line,Joy KeyPoint,Fear Line,Fear KeyPoint,Relaxation Line,Relaxation KeyPoint,Boredom Line,Boredom KeyPoint,Presence Line,Presence KeyPoint, Annotation
0,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
1,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
2,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
3,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
4,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
5,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
6,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
7,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
8,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
9,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
10,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
11,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
12,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
13,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
14,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
15,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
16,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
17,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
18,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
19,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
20,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
21,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
22,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
23,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
24,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
25,1.19081,,1.627433,,2.155272,,4.844325,,4.637567,,
26,1.19081,,1.627433,,2.155272,,4.844325,,4.640296,,
27,1.19081,,1.627433,,2.155272,,4.844325,,4.644935,,
28,1.19081,,1.627433,,2.155272,,4.844325,,4.649572,,
29,1.183344,,1.627433,,2.155272,,4.844325,,4.65421,,
30,1.175615,,1.627433,,2.155272,,4.844325,,4.658848,,
31,1.175615,,1.627433,,2.155272,,4.844325,,4.658848,,
32,1.161407,,1.627896,,2.155272,,4.844325,,4.668308,,
33,1.161407,,1.642167,,2.155272,,4.844325,,4.678614,,
34,1.224265,,1.656437,,2.155272,,4.844325,,4.68892,,
35,1.270643,,1.670707,,2.155272,,4.844325,,4.699227,,
36,1.317022,,1.684978,,2.155272,,4.844325,,4.709533,,
37,1.3634,,1.699248,,2.155272,,4.844325,,4.709533,,
38,1.3634,,1.713518,,2.155272,,4.844325,,4.730074,,
39,1.456156,,1.727788,,2.155272,,4.844325,,4.739838,,
40,1.456156,,1.727788,,2.155272,,4.844325,,4.749602,,
41,1.456156,,1.763832,,2.155272,,4.844325,,4.759366,,
42,1.464459,,1.792819,,2.155272,,4.844325,,4.76913,,
