Time (s),Joy KeyPoint,Fear KeyPoint,Relaxation KeyPoint,Boredom KeyPoint,Presence KeyPoint, Annotation
42,7.76456,3.225279,4.470557,2.841291,6.638931,Nice windy road
148,5.937856,6.726458,7.134498,6.038022,5.649465,Scary cliffs
349,7.307886,6.041442,8.504523,5.200781,8.085068,Pretty landscape
709,4.567825,7.868144,3.024415,3.069629,7.323944,Getting dark
1030,3.806701,5.889219,1.730504,4.287433,6.182254,Overtaking car
1392,7.383992,3.073052,6.449486,3.98298,5.421126,Nice sunset
1632,6.318415,2.311928,6.982272,4.287433,4.279438,Steep cliff
