frame, datetime, event, canvas, X, Y, mouseX, mouseY, video time
1161,11-08-2023 12:12:23.499,Pause button clicked,,,,,,0
1195,11-08-2023 12:12:23.778,Pause button clicked,,,,,,0.266666666666667
1281,11-08-2023 12:12:24.384,Left click initiated,Joy,57.68718,1.817635,15.30974,4.624873,0.266666666666667
1281,11-08-2023 12:12:24.385,Line auto-connected to start,Joy,57.68718,1.817635,15.30974,4.624873,0.266666666666667
1367,11-08-2023 12:12:25.305,Line finished drawing,Joy,801.6379,3.314513,21.22,4.881282,0.266666666666667
1447,11-08-2023 12:12:25.908,Key Point mode selected,,,,,,793.566666666667
1497,11-08-2023 12:12:26.310,Key Point plotted,Joy,280.3882,6.008901,17.07897,5.342821,793.566666666667
1540,11-08-2023 12:12:26.640,Key Point plotted,Joy,432.0831,6.383122,18.2841,5.406924,793.566666666667
1569,11-08-2023 12:12:26.863,Key Point plotted,Joy,511.1582,1.817635,18.91231,4.624873,793.566666666667
1596,11-08-2023 12:12:27.043,Key Point plotted,Joy,577.323,4.736551,19.43795,5.124872,793.566666666667
1624,11-08-2023 12:12:27.236,Key Point plotted,Joy,662.8531,3.389358,20.11744,4.894103,793.566666666667
1648,11-08-2023 12:12:27.417,Key Point plotted,Joy,730.6318,3.4642,20.6559,4.906923,793.566666666667
1671,11-08-2023 12:12:27.580,Key Point plotted,Joy,787.1138,4.437175,21.10461,5.07359,793.566666666667
1805,11-08-2023 12:12:28.507,Eraser mode selected,,,,,,793.566666666667
1805,11-08-2023 12:12:28.507,Stopped erasing,,,,16.48923,6.663334,793.566666666667
1941,11-08-2023 12:12:29.413,Started erasing,,,,18.46359,5.56077,793.566666666667
1994,11-08-2023 12:12:29.826,Key Point deleted,,,,18.29692,5.394103,793.566666666667
2213,11-08-2023 12:12:31.558,Stopped erasing,,,,18.46359,4.971026,793.566666666667
2699,11-08-2023 12:12:34.700,Started erasing,,,,17.80974,4.753078,793.566666666667
2845,11-08-2023 12:12:35.922,Stopped erasing,,,,17.41231,5.535129,793.566666666667
2894,11-08-2023 12:12:36.290,Started erasing,,,,17.39949,5.381283,793.566666666667
2982,11-08-2023 12:12:36.934,Stopped erasing,,,,17.24564,5.57359,793.566666666667
3286,11-08-2023 12:12:38.991,Started erasing,,,,17.63026,6.560769,793.566666666667
3296,11-08-2023 12:12:39.064,Stopped erasing,,,,17.63026,6.586411,793.566666666667
3340,11-08-2023 12:12:39.381,Started erasing,,,,17.70718,6.624872,793.566666666667
3349,11-08-2023 12:12:39.444,Line drawing mode selected,,,,,,793.566666666667
3478,11-08-2023 12:12:40.462,Left click initiated,Joy,275.5468,6.53281,17.04051,5.432565,793.566666666667
3478,11-08-2023 12:12:40.463,Line drawn from point,Joy,275.5468,6.53281,17.04051,5.432565,793.566666666667
3815,11-08-2023 12:12:43.064,Points found below/above line,Joy,,,,,483.7
3815,11-08-2023 12:12:43.064,Export window opened,,,,,,483.7
3921,11-08-2023 12:12:43.935,Export window closed,,,,,,483.7
