frame, datetime, event, canvas, X, Y, mouseX, mouseY, video time
891,11-08-2023 11:51:41.381,Pause button clicked,,,,,,0
1181,11-08-2023 11:51:43.348,Fast forward button clicked,,,,,,1.96666666666667
1201,11-08-2023 11:51:43.513,Fast forward button clicked,,,,,,12.0333333333333
1223,11-08-2023 11:51:43.680,Fast forward button clicked,,,,,,22.1
1243,11-08-2023 11:51:43.839,Fast forward button clicked,,,,,,32.1666666666667
1266,11-08-2023 11:51:44.007,Fast forward button clicked,,,,,,42.2333333333333
1283,11-08-2023 11:51:44.141,Fast forward button clicked,,,,,,52.2666666666667
1310,11-08-2023 11:51:44.341,Fast forward button clicked,,,,,,62.3666666666667
1322,11-08-2023 11:51:44.442,Fast forward button clicked,,,,,,72.4
1355,11-08-2023 11:51:44.669,Fast forward button clicked,,,,,,82.5666666666667
1371,11-08-2023 11:51:44.792,Fast forward button clicked,,,,,,92.6
1476,11-08-2023 11:51:45.543,Pause button clicked,,,,,,103.3
1721,11-08-2023 11:51:47.235,Key Point mode selected,,,,,,103.3
1815,11-08-2023 11:51:47.920,Key Point plotted,Joy,91.57636,6.607655,15.57897,5.445385,103.3
1900,11-08-2023 11:51:48.469,Key Point plotted,Fear,114.1691,6.513349,15.75846,3.599231,103.3
1968,11-08-2023 11:51:48.981,Key Point plotted,Relaxation,106.1003,5.296384,15.69436,1.56077,103.3
2034,11-08-2023 11:51:49.475,Key Point plotted,Boredom,102.8728,6.490896,15.66872,-0.05461502,103.3
2120,11-08-2023 11:51:50.032,Key Point plotted,Presence,98.03147,4.19318,15.63026,-2.298205,103.3
2200,11-08-2023 11:51:50.563,5 valid points found, annotation window shown,,,,15.67078,,103.3
3139,11-08-2023 11:51:56.715,Annotation written: hellllooooo theeerrreeeee​,,,,,,103.3
3698,11-08-2023 11:52:00.330,Slider clicked,,,,,,103.3
3896,11-08-2023 11:52:02.098,Slider released,,,,,,445.466666666667
4227,11-08-2023 11:52:04.251,Key Point plotted,Joy,444.9933,6.008901,18.38667,5.342821,448.7
4302,11-08-2023 11:52:04.715,Key Point plotted,Fear,436.9244,4.417715,18.32256,3.240257,448.7
4376,11-08-2023 11:52:05.257,Key Point plotted,Relaxation,441.7657,4.772477,18.36102,1.471026,448.7
4477,11-08-2023 11:52:05.979,Key Point plotted,Boredom,469.2,4.320416,18.57897,-0.4264102,448.7
