Time (s),Joy Line,Joy KeyPoint,Fear Line,Fear KeyPoint,Relaxation Line,Relaxation KeyPoint,Boredom Line,Boredom KeyPoint,Presence Line,Presence KeyPoint, Annotation
0,4.362333,,6.887567,,6.568733,,6.416052,,4.417713,,
1,4.362333,,6.887567,,6.568733,,6.416052,,4.417713,,
2,4.362333,,6.887567,,6.568733,,6.416052,,4.417713,,
3,4.362333,,6.887567,,6.568733,,6.416052,,4.417713,,
4,4.362333,,6.887567,,6.568733,,6.416052,,4.417713,,
5,4.362333,,6.887567,,6.568733,,6.416052,,4.417713,,
6,4.362333,,6.887567,,6.568733,,6.416052,,4.417713,,
7,4.362333,,6.887567,,6.568733,,6.416052,,4.417713,,
8,4.362333,,6.887567,,6.568733,,6.416052,,4.417713,,
9,4.362333,,6.887567,,6.568733,,6.416052,,4.417713,,
10,4.362333,,6.887567,,6.568733,,6.416052,,4.417713,,
11,4.362333,,6.887567,,6.568733,,6.416052,,4.417713,,
12,4.362333,,6.887567,,6.568733,,6.416052,,4.417713,,
13,4.362333,,6.899131,,6.568733,,6.416052,,4.406149,,
14,4.362333,,6.922321,,6.568733,,6.416052,,4.382959,,
15,4.362333,,6.922321,,6.568733,,6.416052,,4.35977,,
16,4.362333,,6.956122,,6.568733,,6.337015,,4.33658,,
17,4.362333,,6.932932,,6.568733,,6.321555,,4.313391,,
18,4.362333,,6.932932,,6.568733,,6.306096,,4.313391,,
19,4.362333,,6.887567,,6.568733,,6.290637,,4.268025,,
20,4.362333,,6.887567,,6.568733,,6.290637,,4.268025,,
21,4.362333,,6.877599,,6.568733,,6.256395,,4.268025,,
22,4.362333,,6.85441,,6.568733,,6.233206,,4.268025,,
23,4.381254,,6.85441,,6.568733,,6.233206,,4.268025,,
24,4.404443,,6.812725,,6.568733,,6.191521,,4.268025,,
25,4.404443,,6.812725,,6.568733,,6.191521,,4.268025,,
26,4.437175,,6.812725,,6.559635,,6.191521,,4.268025,,
27,4.437175,,6.812725,,6.544176,,6.191521,,4.268025,,
28,4.437175,,6.797656,,6.528717,,6.173438,,4.268025,,
29,4.445544,,6.782197,,6.513258,,6.154887,,4.268025,,
30,4.468732,,6.766737,,6.497798,,6.136335,,4.268025,,
31,4.468732,,6.766737,,6.482339,,6.117785,,4.256474,,
32,4.515109,,6.737882,,6.46688,,6.099233,,4.241015,,
33,4.538299,,6.737882,,6.451421,,6.080682,,4.225555,,
34,4.561489,,6.737882,,6.435962,,6.062131,,4.210096,,
35,4.561489,,6.737882,,6.435962,,6.062131,,4.210096,,
36,4.62887,,6.737882,,6.419046,,6.041832,,4.19318,,
37,4.675249,,6.737882,,6.419046,,6.041832,,4.19318,,
38,4.675249,,6.737882,,6.419046,,6.041832,,4.19318,,
39,4.675249,,6.737882,,6.419046,,6.026102,,4.19318,,
40,4.812894,,6.737882,,6.419046,,6.002913,,4.19318,,
41,4.836082,,6.737882,,6.419046,,6.002913,,4.19318,,
42,4.859271,,6.737882,,6.419046,,5.966988,,4.19318,,
43,4.859271,,6.737882,,6.419046,,5.966988,,4.19318,,
44,4.859271,,6.737882,,6.419046,,5.966988,,4.19318,,
45,4.966252,,6.737882,,6.419046,,5.966988,,4.268025,,
46,4.989442,,6.737882,,6.419046,,5.966988,,4.268025,,
47,5.012632,,6.723749,,6.419046,,5.966988,,4.268025,,
48,5.012632,,6.70056,,6.419046,,5.966988,,4.268025,,
49,5.059011,,6.70056,,6.419046,,5.966988,,4.268025,,
50,5.082201,,6.645327,,6.419046,,5.966988,,4.268025,,
51,5.082201,,6.645327,,6.419046,,5.966988,,4.268025,,
52,5.082201,,6.645327,,6.407171,,5.966988,,4.268025,,
53,5.26761,,6.506194,,6.391712,,5.966988,,4.189602,,
54,5.313988,,6.506194,,6.376252,,5.966988,,4.166413,,
55,5.360366,,6.425971,,6.360793,,5.941917,,4.143224,,
56,5.360366,,6.402782,,6.360793,,5.941917,,4.143224,,
57,5.360366,,6.402782,,6.360793,,5.892142,,4.10401,,
58,5.574344,,6.356404,,6.344202,,5.892142,,4.08855,,
59,5.574344,,6.333214,,6.344202,,5.892142,,4.073091,,
60,5.574344,,6.333214,,6.327985,,5.892142,,4.073091,,
61,5.713483,,6.286834,,6.304797,,5.892142,,4.043492,,
62,5.713483,,6.263645,,6.304797,,5.892142,,4.043492,,
63,5.795304,,6.240455,,6.25842,,5.881204,,4.032554,,
64,5.818492,,6.240455,,6.23523,,5.858016,,4.009366,,
65,5.818492,,6.240455,,6.23523,,5.858016,,4.009366,,
66,5.881844,,6.208312,,6.183192,,5.817299,,3.979971,,
67,5.881844,,6.185122,,6.183192,,5.817299,,3.979971,,
68,6.023516,,6.185122,,6.183192,,5.817299,,4.043492,,
