10-08-2023_16-537165 Slider snapped to keypoint
10-08-2023_16-537166 Slider snapped to keypoint
10-08-2023_16-537166 Slider snapped to keypoint
10-08-2023_16-537167 Slider snapped to keypoint
10-08-2023_16-537167 Slider snapped to keypoint
10-08-2023_16-537167 Slider snapped to keypoint
10-08-2023_16-537167 Slider snapped to keypoint
10-08-2023_16-537168 Slider snapped to keypoint
10-08-2023_16-537168 Slider snapped to keypoint
10-08-2023_16-537169 Slider snapped to keypoint
10-08-2023_16-537169 Slider snapped to keypoint
10-08-2023_16-537170 Slider snapped to keypoint
10-08-2023_16-537170 Slider snapped to keypoint
10-08-2023_16-537171 Slider snapped to keypoint
10-08-2023_16-537171 Slider snapped to keypoint
10-08-2023_16-537172 Slider snapped to keypoint
10-08-2023_16-537172 Slider snapped to keypoint
10-08-2023_16-537173 Slider snapped to keypoint
10-08-2023_16-537173 Slider snapped to keypoint
10-08-2023_16-537174 Slider snapped to keypoint
10-08-2023_16-537174 Slider snapped to keypoint
10-08-2023_16-537175 Slider snapped to keypoint
10-08-2023_16-537175 Slider snapped to keypoint
10-08-2023_16-537176 Slider snapped to keypoint
10-08-2023_16-537176 Slider snapped to keypoint
10-08-2023_16-537176 Slider snapped to keypoint
10-08-2023_16-537176 Slider snapped to keypoint
10-08-2023_16-537177 Slider snapped to keypoint
10-08-2023_16-537177 Slider snapped to keypoint
10-08-2023_16-537178 Slider snapped to keypoint
10-08-2023_16-537178 Slider snapped to keypoint
10-08-2023_16-537179 Slider snapped to keypoint
10-08-2023_16-537179 Slider snapped to keypoint
10-08-2023_16-537180 Slider snapped to keypoint
10-08-2023_16-537180 Slider snapped to keypoint
10-08-2023_16-537180 Slider snapped to keypoint
10-08-2023_16-537180 Slider snapped to keypoint
10-08-2023_16-537181 Slider snapped to keypoint
10-08-2023_16-537181 Slider snapped to keypoint
10-08-2023_16-537182 Slider snapped to keypoint
10-08-2023_16-537182 Slider snapped to keypoint
10-08-2023_16-537183 Slider snapped to keypoint
10-08-2023_16-537183 Slider snapped to keypoint
10-08-2023_16-537183 Slider snapped to keypoint
10-08-2023_16-537183 Slider snapped to keypoint
10-08-2023_16-537184 Slider snapped to keypoint
10-08-2023_16-537184 Slider snapped to keypoint
10-08-2023_16-537185 Slider snapped to keypoint
10-08-2023_16-537185 Slider snapped to keypoint
10-08-2023_16-537186 Slider snapped to keypoint
10-08-2023_16-537186 Slider snapped to keypoint
10-08-2023_16-537186 Slider snapped to keypoint
10-08-2023_16-537186 Slider snapped to keypoint
10-08-2023_16-537187 Slider snapped to keypoint
10-08-2023_16-537187 Slider snapped to keypoint
10-08-2023_16-537188 Slider snapped to keypoint
10-08-2023_16-537188 Slider snapped to keypoint
10-08-2023_16-537189 Slider snapped to keypoint
10-08-2023_16-537189 Slider snapped to keypoint
10-08-2023_16-537191 Slider snapped to keypoint
10-08-2023_16-537191 Slider snapped to keypoint
10-08-2023_16-537191 Slider snapped to keypoint
10-08-2023_16-537191 Slider snapped to keypoint
10-08-2023_16-537192 Slider snapped to keypoint
10-08-2023_16-537192 Slider snapped to keypoint
10-08-2023_16-537193 Slider snapped to keypoint
10-08-2023_16-537193 Slider snapped to keypoint
10-08-2023_16-537194 Slider snapped to keypoint
10-08-2023_16-537194 Slider snapped to keypoint
10-08-2023_16-537194 Slider snapped to keypoint
10-08-2023_16-537194 Slider snapped to keypoint
10-08-2023_16-537195 Slider snapped to keypoint
10-08-2023_16-537195 Slider snapped to keypoint
10-08-2023_16-537196 Slider snapped to keypoint
10-08-2023_16-537196 Slider snapped to keypoint
10-08-2023_16-537197 Slider snapped to keypoint
10-08-2023_16-537197 Slider snapped to keypoint
10-08-2023_16-537198 Slider snapped to keypoint
10-08-2023_16-537198 Slider snapped to keypoint
