Time (s),Joy Line,Joy KeyPoint,Fear Line,Fear KeyPoint,Relaxation Line,Relaxation KeyPoint,Boredom Line,Boredom KeyPoint,Presence Line,Presence KeyPoint, Annotation
0,4.1378,,5.76491,,5.071851,,6.93996,,6.288815,,
1,4.1378,,5.76491,,5.071851,,6.93996,,6.288815,,
2,4.1378,,5.76491,,5.071851,,6.93996,,6.288815,,
3,4.1378,,5.76491,,5.08447,,6.93996,,6.288815,,
4,4.1378,,5.76491,,5.154039,,6.93996,,6.288815,,
5,4.1378,,5.782461,,5.223608,,6.93996,,6.288815,,
6,4.1378,,5.813378,,5.223608,,6.93996,,6.288815,,
7,4.1378,,5.844296,,5.318504,,6.93996,,6.288815,,
8,4.1378,,5.875215,,5.341693,,6.93996,,6.288815,,
9,4.1378,,5.875215,,5.341693,,6.93996,,6.288815,,
10,4.1378,,5.931437,,5.393686,,6.93996,,6.288815,,
11,4.1378,,5.954626,,5.424605,,6.93996,,6.288815,,
12,4.1378,,5.977815,,5.455524,,6.93996,,6.288815,,
13,4.126237,,6.001005,,5.486443,,6.93996,,6.311944,,
14,4.103046,,6.024194,,5.517362,,6.93996,,6.311944,,
15,4.103046,,6.024194,,5.548281,,6.93996,,6.370501,,
16,4.062952,,6.070572,,5.5792,,6.927382,,6.378231,,
17,4.062952,,6.093762,,5.610119,,6.881002,,6.385961,,
18,4.062952,,6.093762,,5.610119,,6.881002,,6.393691,,
19,4.063962,,6.139128,,5.671281,,6.790947,,6.401421,,
20,4.087152,,6.139128,,5.68674,,6.806406,,6.40915,,
21,4.110343,,6.139128,,5.702199,,6.821866,,6.41688,,
22,4.110343,,6.139128,,5.717659,,6.837325,,6.42461,,
23,4.156721,,6.139128,,5.717659,,6.837325,,6.42461,,
24,4.17991,,6.139128,,5.747796,,6.867462,,6.437784,,
25,4.17991,,6.139128,,5.75939,,6.879056,,6.434216,,
26,4.226286,,6.139128,,5.770984,,6.890651,,6.430648,,
27,4.249475,,6.139128,,5.782578,,6.902245,,6.427081,,
28,4.249475,,6.161732,,5.794173,,6.913839,,6.423513,,
29,4.295854,,6.18492,,5.805768,,6.925434,,6.419946,,
30,4.319044,,6.18492,,5.805768,,6.925434,,6.416378,,
31,4.319044,,6.213972,,5.820293,,6.948623,,6.41281,,
32,4.362333,,6.213972,,5.820293,,6.960217,,6.409243,,
33,4.362333,,6.213972,,5.820293,,6.971813,,6.405675,,
34,4.362333,,6.226023,,5.832345,,6.983407,,6.402108,,
35,4.362333,,6.249213,,5.855535,,6.995002,,6.39854,,
36,4.383335,,6.249213,,5.855535,,6.995002,,6.394972,,
37,4.406524,,6.293333,,5.895138,,7.019321,,6.391405,,
38,4.406524,,6.308793,,5.895138,,7.034781,,6.387837,,
39,4.452902,,6.324252,,5.895138,,7.05024,,6.38427,,
40,4.476091,,6.339711,,5.895138,,7.0657,,6.380702,,
41,4.476091,,6.355171,,5.895138,,7.0657,,6.377134,,
42,4.52247,,6.37063,,5.895138,,7.089649,,6.373567,,
43,4.54566,,6.38609,,5.895138,,7.089649,,6.369999,,
44,4.54566,,6.401549,,5.904842,,7.089649,,6.369999,,
45,4.589453,,6.417009,,5.916437,,7.089649,,6.36366,,
46,4.601047,,6.417009,,5.928031,,7.089649,,6.36366,,
47,4.612641,,6.447927,,5.939625,,7.089649,,6.36366,,
48,4.624236,,6.463387,,5.95122,,7.089649,,6.36366,,
49,4.63583,,6.478846,,5.95122,,7.089649,,6.36366,,
50,4.647425,,6.494306,,5.987692,,7.089649,,6.367203,,
51,4.647425,,6.494306,,5.987692,,7.089649,,6.376478,,
52,4.697329,,6.531162,,6.062637,,7.113399,,6.385754,,
53,4.743707,,6.554351,,6.085825,,7.144317,,6.39503,,
54,4.743707,,6.554351,,6.085825,,7.175235,,6.404305,,
55,4.823931,,6.588194,,6.119668,,7.206153,,6.413581,,
56,4.847119,,6.588194,,6.119668,,7.206153,,6.422857,,
57,4.847119,,6.588194,,6.119668,,7.239335,,6.422857,,
58,4.893495,,6.595451,,6.126925,,7.239335,,6.433668,,
59,4.916682,,6.618641,,6.150115,,7.239335,,6.418208,,
60,4.916682,,6.618641,,6.150115,,7.255551,,6.402748,,
61,4.961078,,6.66502,,6.194513,,7.27874,,6.387288,,
62,4.961078,,6.68821,,6.194513,,7.27874,,6.387288,,
63,4.961078,,6.711399,,6.194513,,7.31418,,6.36366,,
64,4.961078,,6.711399,,6.194513,,7.31418,,6.36366,,
65,4.980972,,6.737882,,6.214408,,7.31418,,6.36366,,
66,5.004162,,6.737882,,6.237597,,7.31418,,6.36366,,
67,5.004162,,6.737882,,6.237597,,7.31418,,6.36366,,
68,5.065155,,6.752499,,6.269358,,7.31418,,6.36366,,
69,5.111532,,6.775687,,6.269358,,7.31418,,6.36366,,
70,5.111532,,6.775687,,6.269358,,7.31418,,6.36366,,
71,5.204287,,6.812725,,6.269358,,7.31418,,6.36366,,
72,5.204287,,6.812725,,6.269358,,7.31418,,6.36366,,
73,5.278753,,6.812725,,6.269358,,7.31418,,6.36366,,
74,5.301941,,6.812725,,6.191804,,7.31418,,6.36366,,
75,5.301941,,6.812725,,6.176344,,7.31418,,6.36366,,
76,5.348318,,6.812725,,6.160885,,7.31418,,6.36366,,
77,5.371507,,6.812725,,6.145425,,7.31418,,6.36366,,
78,5.371507,,6.812725,,6.145425,,7.31418,,6.36366,,
79,5.417886,,6.812725,,6.109344,,7.31418,,6.36366,,
80,5.441077,,6.812725,,6.078425,,7.31418,,6.36366,,
81,5.441077,,6.829422,,6.047507,,7.31418,,6.36366,,
82,5.489924,,6.852611,,6.016588,,7.319117,,6.36366,,
83,5.5363,,6.852611,,6.016588,,7.319117,,6.36366,,
84,5.582676,,6.887567,,5.947136,,7.396639,,6.36366,,
85,5.582676,,6.887567,,5.947136,,7.412098,,6.36366,,
86,5.655055,,6.887567,,5.947136,,7.427557,,6.36366,,
87,5.678245,,6.887567,,5.895138,,7.443017,,6.36366,,
88,5.678245,,6.887567,,5.895138,,7.443017,,6.36366,,
89,5.724625,,6.8775,,5.895138,,7.463869,,6.36366,,
90,5.747814,,6.862041,,5.895138,,7.463869,,6.438506,,
91,5.747814,,6.846582,,5.895138,,7.463869,,6.438506,,
92,5.794191,,6.831123,,5.895138,,7.463869,,6.448331,,
93,5.817379,,6.831123,,5.895138,,7.463869,,6.471519,,
94,5.817379,,6.812725,,5.895138,,7.463869,,6.471519,,
95,5.863756,,6.812725,,5.895138,,7.384476,,6.519413,,
96,5.886945,,6.812725,,5.895138,,7.361287,,6.550332,,
97,5.910135,,6.812725,,5.881633,,7.338099,,6.581251,,
98,5.910135,,6.812725,,5.858443,,7.338099,,6.612171,,
99,5.956514,,6.812725,,5.858443,,7.29172,,6.612171,,
100,5.979703,,6.812725,,5.814807,,7.26853,,6.663036,,
101,5.979703,,6.812725,,5.799347,,7.26853,,6.663036,,
102,6.008901,,6.812725,,5.783888,,7.222151,,6.663036,,
103,6.008901,,6.812725,,5.768429,,7.198962,,6.663036,,
104,6.008901,,6.812725,,5.768429,,7.198962,,6.663036,,
105,6.020807,,6.812725,,5.733541,,7.188309,,6.651127,,
106,6.043995,,6.812725,,5.710351,,7.188309,,6.627938,,
107,6.043995,,6.812725,,5.710351,,7.239335,,6.627938,,
108,6.090372,,6.812725,,5.670605,,7.239335,,6.58377,,
109,6.113561,,6.812725,,5.670605,,7.239335,,6.568312,,
110,6.113561,,6.812725,,5.670605,,7.239335,,6.552853,,
111,6.15994,,6.812725,,5.670605,,7.240688,,6.537395,,
112,6.18313,,6.812725,,5.670605,,7.263878,,6.537395,,
113,6.20632,,6.823032,,5.691221,,7.287068,,6.503041,,
114,6.20632,,6.846221,,5.691221,,7.287068,,6.479852,,
115,6.252699,,6.846221,,5.726182,,7.287068,,6.479852,,
116,6.275888,,6.892599,,5.702993,,7.31418,,6.428442,,
117,6.275888,,6.915789,,5.679805,,7.31418,,6.382061,,
118,6.322266,,6.938978,,5.656616,,7.31418,,6.335681,,
119,6.345454,,6.938978,,5.633427,,7.31418,,6.335681,,
120,6.345454,,6.962411,,5.633427,,7.31418,,6.288815,,
121,6.391831,,6.962411,,5.59576,,7.31418,,6.288815,,
122,6.415021,,6.962411,,5.59576,,7.31418,,6.288815,,
123,6.415021,,6.962411,,5.59576,,7.31418,,6.288815,,
124,6.458797,,6.963241,,5.595345,,7.31418,,6.213973,,
125,6.464399,,6.968843,,5.592544,,7.31418,,6.213973,,
126,6.470001,,6.974445,,5.589743,,7.310994,,6.209193,,
127,6.475604,,6.980048,,5.586942,,7.305032,,6.200249,,
128,6.481205,,6.98565,,5.584141,,7.299069,,6.191306,,
129,6.486808,,6.991252,,5.58134,,7.293107,,6.182363,,
130,6.49241,,6.996854,,5.578538,,7.287145,,6.173419,,
131,6.498012,,7.002457,,5.575737,,7.281182,,6.164475,,
132,6.503614,,7.008059,,5.572937,,7.27522,,6.155532,,
133,6.509217,,7.013661,,5.570135,,7.269258,,6.146588,,
134,6.514819,,7.019263,,5.567334,,7.263296,,6.137645,,
135,6.520421,,7.024866,,5.564533,,7.257333,,6.128701,,
136,6.526023,,7.030468,,5.561732,,7.251371,,6.119758,,
137,6.531625,,7.03607,,5.558931,,7.245409,,6.110814,,
138,6.537228,,7.041672,,5.55613,,7.239447,,6.101871,,
139,6.54283,,7.047275,,5.553329,,7.233484,,6.092927,,
140,6.548432,,7.052877,,5.550528,,7.227522,,6.083983,,
141,6.554034,,7.058479,,5.547726,,7.22156,,6.07504,,
142,6.559636,,7.064082,,5.544925,,7.215597,,6.066096,,
143,6.565238,,7.069684,,5.542124,,7.209635,,6.057153,,
144,6.570841,,7.075286,,5.539323,,7.203673,,6.048209,,
145,6.576443,,7.080888,,5.536522,,7.197711,,6.039266,,
146,6.582045,,7.086491,,5.533721,,7.191748,,6.030322,,
147,6.587647,,7.092093,,5.53092,,7.185786,,6.021379,,
148,6.593249,,7.097695,,5.528119,,7.179823,,6.012435,,
149,6.598852,,7.103297,,5.525318,,7.173862,,6.003492,,
150,6.598852,,7.103297,,5.525318,,7.173862,,6.003492,,
151,6.602507,6.607655,7.122785,7.1121,5.525753,5.520916,7.169642,7.164493,5.979803,5.989439,there was a behemoth
152,6.590493,,7.14771,,5.537035,,7.181655,,5.957325,,
153,6.57848,,7.172635,,5.548317,,7.193668,,5.934847,,
154,6.566467,,7.19756,,5.559599,,7.205681,,5.912369,,
155,6.554454,,7.222486,,5.570882,,7.217694,,5.889891,,
156,6.542441,,7.247411,,5.582164,,7.229707,,5.867413,,
157,6.530428,,7.272336,,5.593446,,7.24172,,5.844935,,
158,6.518415,,7.297261,,5.604729,,7.253733,,5.822457,,
159,6.506402,,7.322186,,5.616011,,7.265746,,5.799979,,
160,6.49439,,7.347111,,5.627294,,7.277758,,5.777501,,
161,6.482377,,7.372036,,5.638576,,7.289771,,5.755023,,
162,6.470364,,7.372036,,5.649858,,7.301784,,5.732545,,
163,6.458351,,7.398565,,5.66114,,7.313797,,5.710067,,
164,6.446338,,7.367646,,5.672423,,7.32581,,5.687589,,
165,6.434325,,7.336727,,5.683705,,7.337823,,5.665111,,
166,6.422312,,7.305809,,5.694987,,7.349835,,5.642633,,
167,6.410299,,7.274889,,5.70627,,7.361848,,5.620155,,
168,6.398286,,7.243971,,5.717552,,7.373861,,5.597677,,
169,6.386273,,7.213052,,5.728834,,7.385874,,5.5752,,
170,6.37426,,7.182133,,5.740117,,7.397887,,5.552722,,
171,6.362247,,7.151214,,5.751399,,7.4099,,5.530243,,
172,6.350234,,7.120296,,5.762681,,7.421913,,5.507765,,
173,6.338221,,7.089376,,5.773963,,7.433926,,5.507765,,
174,6.326208,,7.058458,,5.785246,,7.445939,,5.464408,,
175,6.326208,,7.027539,,5.796528,,7.445939,,5.455132,,
176,6.308277,,6.99662,,5.80781,,7.487402,,5.445856,,
177,6.308277,,6.99662,,5.80781,,7.487402,,5.43658,,
178,6.287559,,6.99662,,5.820293,,7.517993,,5.427304,,
179,6.264371,,6.799751,,5.820293,,7.494805,,5.418029,,
180,6.264371,,6.753373,,5.820293,,7.494805,,5.408753,,
181,6.264371,,6.753373,,5.820293,,7.494805,,5.408753,,
182,6.232225,,6.661827,,5.820293,,7.463869,,5.390686,,
183,6.209035,,6.638638,,5.820293,,7.463869,,5.390686,,
184,6.185845,,6.615448,,5.824359,,7.463869,,5.390686,,
185,6.185845,,6.615448,,5.833635,,7.463869,,5.390686,,
186,6.185845,,6.615448,,5.842911,,7.444744,,5.390686,,
187,6.158589,,6.513349,,5.852187,,7.421556,,5.390686,,
188,6.158589,,6.513349,,5.861463,,7.421556,,5.390686,,
189,6.158589,,6.504119,,5.870739,,7.375179,,5.390686,,
190,6.158589,,6.48866,,5.880014,,7.35199,,5.390686,,
191,6.158589,,6.473201,,5.880014,,7.35199,,5.405886,,
192,6.075176,,6.457742,,5.895138,,7.305611,,5.421346,,
193,6.051987,,6.457742,,5.895138,,7.282421,,5.436806,,
194,6.051987,,6.420981,,5.895138,,7.282421,,5.436806,,
195,6.008901,,6.397792,,5.895138,,7.234943,,5.467178,,
196,6.008901,,6.397792,,5.895138,,7.204025,,5.478772,,
197,5.984407,,6.339162,,5.895138,,7.173107,,5.490367,,
198,5.938027,,6.339162,,5.895138,,7.142188,,5.501962,,
199,5.938027,,6.339162,,5.873931,,7.142188,,5.513556,,
200,5.845269,,6.200026,,5.850743,,7.080351,,5.525151,,
201,5.845269,,6.153646,,5.850743,,7.049432,,5.525151,,
202,5.752516,,6.153646,,5.813922,,7.018514,,5.556304,,
203,5.706136,,6.060888,,5.804646,,6.987595,,5.579493,,
204,5.706136,,6.060888,,5.795371,,6.987595,,5.579493,,
205,5.613379,,5.989439,,5.786095,,6.929307,,5.615219,,
206,5.613379,,5.989439,,5.77682,,6.906118,,5.615219,,
207,5.613379,,5.989439,,5.767544,,6.882928,,5.615219,,
208,5.549084,,5.978686,,5.758268,,6.859738,,5.615219,,
209,5.502705,,5.978686,,5.758268,,6.836549,,5.615219,,
210,5.502705,,5.978686,,5.758268,,6.836549,,5.615219,,
211,5.410045,,5.839614,,5.670605,,6.79017,,5.615117,,
212,5.386857,,5.808698,,5.670605,,6.766981,,5.59193,,
213,5.36367,,5.777782,,5.670605,,6.743793,,5.568742,,
214,5.36367,,5.746866,,5.670605,,6.720604,,5.568742,,
215,5.312791,,5.746866,,5.670605,,6.697416,,5.540376,,
216,5.283804,,5.682515,,5.670605,,6.674227,,5.540376,,
217,5.254818,,5.682515,,5.670605,,6.674227,,5.540376,,
218,5.225831,,5.61522,,5.670605,,6.623605,,5.540376,,
219,5.196845,,5.61522,,5.670605,,6.592686,,5.540376,,
220,5.167858,,5.61522,,5.670605,,6.561768,,5.518686,,
221,5.138871,,5.525459,,5.670605,,6.530849,,5.495496,,
222,5.109884,,5.525459,,5.670605,,6.530849,,5.495496,,
223,5.080897,,5.525459,,5.670605,,6.482689,,5.449118,,
224,5.051911,,5.390687,,5.670605,,6.471095,,5.42593,,
225,5.022924,,5.390687,,5.670605,,6.459501,,5.42593,,
226,4.993937,,5.368419,,5.663183,,6.447906,,5.390686,,
227,4.993937,,5.368419,,5.647722,,6.436312,,5.390686,,
228,4.920897,,5.368419,,5.632262,,6.436312,,5.370593,,
229,4.874521,,5.229283,,5.616802,,6.412147,,5.347404,,
230,4.874521,,5.229283,,5.616802,,6.396687,,5.347404,,
231,4.874521,,5.142445,,5.59576,,6.381227,,5.347404,,
232,4.810818,,5.105342,,5.59576,,6.365768,,5.31526,,
233,4.787627,,5.06824,,5.59576,,6.365768,,5.29207,,
234,4.764436,,5.031137,,5.59576,,6.33167,,5.26888,,
235,4.764436,,4.994034,,5.59576,,6.30848,,5.26888,,
236,4.711891,,4.956932,,5.583429,,6.30848,,5.26888,,
237,4.680974,,4.919829,,5.56797,,6.264232,,5.236736,,
238,4.650055,,4.919829,,5.55251,,6.252638,,5.213547,,
239,4.619137,,4.840336,,5.537051,,6.241043,,5.190358,,
240,4.619137,,4.793961,,5.537051,,6.229449,,5.190358,,
